perturbation_size,standard,weighted,or_dual
0,0.7735368956743003,0.7684478371501272,0.7735368956743003
1,0.7684478371501272,0.7633587786259542,0.7684478371501272
2,0.7684478371501272,0.7557251908396947,0.7684478371501272
3,0.7633587786259542,0.7531806615776081,0.7633587786259542
4,0.7582697201017812,0.7506361323155216,0.7582697201017812
5,0.7531806615776081,0.7480916030534351,0.7531806615776081
6,0.7531806615776081,0.7379134860050891,0.7531806615776081
7,0.7506361323155216,0.732824427480916,0.7506361323155216
8,0.7506361323155216,0.7251908396946565,0.7506361323155216
9,0.7480916030534351,0.7073791348600509,0.7480916030534351
10,0.7430025445292621,0.6692111959287532,0.7430025445292621
11,0.7379134860050891,0.544529262086514,0.7379134860050891
12,0.7302798982188295,0.35877862595419846,0.7302798982188295
13,0.7251908396946565,0.1984732824427481,0.7251908396946565
14,0.7150127226463104,0.0,0.7150127226463104
15,0.43765903307888043,0.0,0.43765903307888043
16,0.0,0.0,0.0
