perturbation_size,GIN,GCN,GAT
0,0.7633587786259542,0.7633587786259542,0.7531806615776081
1,0.7608142493638677,0.7608142493638677,0.7531806615776081
2,0.7608142493638677,0.7608142493638677,0.7531806615776081
3,0.7608142493638677,0.7557251908396947,0.7531806615776081
4,0.7608142493638677,0.7531806615776081,0.7531806615776081
5,0.7582697201017812,0.7480916030534351,0.7531806615776081
6,0.7582697201017812,0.7455470737913485,0.7531806615776081
7,0.7582697201017812,0.7379134860050891,0.7531806615776081
8,0.7582697201017812,0.732824427480916,0.7531806615776081
9,0.7557251908396947,0.732824427480916,0.7480916030534351
10,0.7506361323155216,0.732824427480916,0.7480916030534351
11,0.7506361323155216,0.7302798982188295,0.7480916030534351
12,0.7480916030534351,0.7251908396946565,0.7480916030534351
13,0.7430025445292621,0.7251908396946565,0.7480916030534351
14,0.732824427480916,0.7175572519083969,0.7455470737913485
15,0.43256997455470736,0.4173027989821883,0.4529262086513995
16,0.0,0.0,0.0
