perturbation_size,lm_0.0,lm_0.5,lm_1.0,lm_2.0
0,0.6649635036496351,0.6656934306569343,0.6583941605839416,0.6583941605839416
1,0.6627737226277373,0.6649635036496351,0.6583941605839416,0.6583941605839416
2,0.6627737226277373,0.6649635036496351,0.6583941605839416,0.6583941605839416
3,0.6613138686131387,0.6649635036496351,0.6583941605839416,0.6576642335766424
4,0.6591240875912409,0.6642335766423357,0.6576642335766424,0.6576642335766424
5,0.6562043795620438,0.6635036496350365,0.6562043795620438,0.6562043795620438
6,0.6554744525547446,0.6635036496350365,0.6525547445255474,0.6489051094890511
7,0.6503649635036496,0.6620437956204379,0.6518248175182482,0.6445255474452555
8,0.6496350364963503,0.6583941605839416,0.6496350364963503,0.6357664233576642
9,0.6467153284671533,0.6554744525547446,0.6445255474452555,0.6299270072992701
10,0.6437956204379562,0.6518248175182482,0.6437956204379562,0.621897810218978
11,0.6364963503649635,0.6481751824817519,0.6386861313868614,0.6124087591240875
12,0.6328467153284671,0.6416058394160584,0.6313868613138686,0.6051094890510949
13,0.6240875912408759,0.6335766423357664,0.6233576642335766,0.5897810218978102
14,0.6094890510948905,0.6131386861313869,0.6102189781021898,0.5532846715328467
15,0.34817518248175183,0.31459854014598543,0.345985401459854,0.28175182481751826
16,0.0,0.0,0.0,0.0
